id,test_task_descr_1,test_task_descr_2,test_task_descr_3,obs_task_descr_1,obs_task_descr_2,obs_tasks_perf_1,obs_tasks_perf_2,post_obs_task_descr,prompt,1,2,3,4,5,6,7
0,"Parking backwards empty lot, misaligned",Navigating lane merge on a clear road,"Parking forwards cars and people around, misaligned","Parking forwards empty lot, aligned","Parking forwards empty lot, misaligned",True,True,"Parking backwards empty lot, misaligned","This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The participant is introduced to the robot, which is a autonomous vehicle in a virtual reality environment. To interact, the participant wears a virtual reality headset which provides a first-person viewpoint from the driver seat. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Parking backwards empty lot, misaligned' as 5 out of 7.
The participant rates their trust on the task 'Navigating lane merge on a clear road' as 5 out of 7.
The participant rates their trust on the task 'Parking forwards cars and people around, misaligned' as 3 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Parking forwards empty lot, aligned' and succeeds. 
Then, the robot performs the task 'Parking forwards empty lot, misaligned' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Parking backwards empty lot, misaligned' as {}",8.508881990321461e-06,4.245987693790026e-05,0.00019796664520917352,0.007609898841768351,0.007672792108916985,0.8208563618104782,0.15869834182374187
0,"Parking backwards empty lot, misaligned",Navigating lane merge on a clear road,"Parking forwards cars and people around, misaligned","Parking forwards empty lot, aligned","Parking forwards empty lot, misaligned",True,True,Navigating lane merge on a clear road,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The participant is introduced to the robot, which is a autonomous vehicle in a virtual reality environment. To interact, the participant wears a virtual reality headset which provides a first-person viewpoint from the driver seat. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Parking backwards empty lot, misaligned' as 5 out of 7.
The participant rates their trust on the task 'Navigating lane merge on a clear road' as 5 out of 7.
The participant rates their trust on the task 'Parking forwards cars and people around, misaligned' as 3 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Parking forwards empty lot, aligned' and succeeds. 
Then, the robot performs the task 'Parking forwards empty lot, misaligned' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Navigating lane merge on a clear road' as {}",1.2267893412549154e-05,5.6009541377576956e-05,0.00022180343416663357,0.00579288174793125,0.006397357272921419,0.7939284620245063,0.18886252680264604
0,"Parking backwards empty lot, misaligned",Navigating lane merge on a clear road,"Parking forwards cars and people around, misaligned","Parking forwards empty lot, aligned","Parking forwards empty lot, misaligned",True,True,"Parking forwards cars and people around, misaligned","This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The participant is introduced to the robot, which is a autonomous vehicle in a virtual reality environment. To interact, the participant wears a virtual reality headset which provides a first-person viewpoint from the driver seat. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Parking backwards empty lot, misaligned' as 5 out of 7.
The participant rates their trust on the task 'Navigating lane merge on a clear road' as 5 out of 7.
The participant rates their trust on the task 'Parking forwards cars and people around, misaligned' as 3 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Parking forwards empty lot, aligned' and succeeds. 
Then, the robot performs the task 'Parking forwards empty lot, misaligned' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Parking forwards cars and people around, misaligned' as {}",1.8149691402772974e-05,8.419108678328617e-05,0.0004912826175188743,0.1435149884654956,0.290194004103943,0.5443203319126333,0.016028915003862457
1,"Parking backwards cars and people around, aligned","Parking backwards empty lot, misaligned",Navigating traffic-circle with other moving vehicles,"Parking backwards cars and people around, misaligned","Parking forwards cars and people around, misaligned",True,True,"Parking backwards cars and people around, aligned","This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The participant is introduced to the robot, which is a autonomous vehicle in a virtual reality environment. To interact, the participant wears a virtual reality headset which provides a first-person viewpoint from the driver seat. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Parking backwards cars and people around, aligned' as 4 out of 7.
The participant rates their trust on the task 'Parking backwards empty lot, misaligned' as 7 out of 7.
The participant rates their trust on the task 'Navigating traffic-circle with other moving vehicles' as 4 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Parking backwards cars and people around, misaligned' and succeeds. 
Then, the robot performs the task 'Parking forwards cars and people around, misaligned' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Parking backwards cars and people around, aligned' as {}",6.030835497644438e-06,4.264097126953086e-05,0.00019605722050270631,0.0008996266626311608,0.19347342779479873,0.7406189821935044,0.059514981988519663
1,"Parking backwards cars and people around, aligned","Parking backwards empty lot, misaligned",Navigating traffic-circle with other moving vehicles,"Parking backwards cars and people around, misaligned","Parking forwards cars and people around, misaligned",True,True,"Parking backwards empty lot, misaligned","This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The participant is introduced to the robot, which is a autonomous vehicle in a virtual reality environment. To interact, the participant wears a virtual reality headset which provides a first-person viewpoint from the driver seat. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Parking backwards cars and people around, aligned' as 4 out of 7.
The participant rates their trust on the task 'Parking backwards empty lot, misaligned' as 7 out of 7.
The participant rates their trust on the task 'Navigating traffic-circle with other moving vehicles' as 4 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Parking backwards cars and people around, misaligned' and succeeds. 
Then, the robot performs the task 'Parking forwards cars and people around, misaligned' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Parking backwards empty lot, misaligned' as {}",2.8404896945573933e-05,8.432172631546888e-05,0.00020856329284198185,0.0004164542276481676,0.020842027040676392,0.4897750230233639,0.27722844541331365
1,"Parking backwards cars and people around, aligned","Parking backwards empty lot, misaligned",Navigating traffic-circle with other moving vehicles,"Parking backwards cars and people around, misaligned","Parking forwards cars and people around, misaligned",True,True,Navigating traffic-circle with other moving vehicles,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The participant is introduced to the robot, which is a autonomous vehicle in a virtual reality environment. To interact, the participant wears a virtual reality headset which provides a first-person viewpoint from the driver seat. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Parking backwards cars and people around, aligned' as 4 out of 7.
The participant rates their trust on the task 'Parking backwards empty lot, misaligned' as 7 out of 7.
The participant rates their trust on the task 'Navigating traffic-circle with other moving vehicles' as 4 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Parking backwards cars and people around, misaligned' and succeeds. 
Then, the robot performs the task 'Parking forwards cars and people around, misaligned' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Navigating traffic-circle with other moving vehicles' as {}",7.586387766005936e-06,8.386828713779331e-05,0.00022635545149767692,0.0003805623997581311,0.1821922920383211,0.7806800813617993,0.03178664646094463
2,Navigating T-junction on a clear road,"Parking backwards cars and people around, aligned",Navigating T-junction with other moving vehicles,Navigating traffic-circle with other moving vehicles,Navigating lane merge with other moving vehicles,True,True,Navigating T-junction on a clear road,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The participant is introduced to the robot, which is a autonomous vehicle in a virtual reality environment. To interact, the participant wears a virtual reality headset which provides a first-person viewpoint from the driver seat. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Navigating T-junction on a clear road' as 2 out of 7.
The participant rates their trust on the task 'Parking backwards cars and people around, aligned' as 1 out of 7.
The participant rates their trust on the task 'Navigating T-junction with other moving vehicles' as 1 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Navigating traffic-circle with other moving vehicles' and succeeds. 
Then, the robot performs the task 'Navigating lane merge with other moving vehicles' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Navigating T-junction on a clear road' as {}",0.00019163558197266082,0.001278033513467653,0.08988708566933487,0.5859838790131529,0.2893602289817395,0.02964384985034909,0.0007354719176183313
2,Navigating T-junction on a clear road,"Parking backwards cars and people around, aligned",Navigating T-junction with other moving vehicles,Navigating traffic-circle with other moving vehicles,Navigating lane merge with other moving vehicles,True,True,"Parking backwards cars and people around, aligned","This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The participant is introduced to the robot, which is a autonomous vehicle in a virtual reality environment. To interact, the participant wears a virtual reality headset which provides a first-person viewpoint from the driver seat. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Navigating T-junction on a clear road' as 2 out of 7.
The participant rates their trust on the task 'Parking backwards cars and people around, aligned' as 1 out of 7.
The participant rates their trust on the task 'Navigating T-junction with other moving vehicles' as 1 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Navigating traffic-circle with other moving vehicles' and succeeds. 
Then, the robot performs the task 'Navigating lane merge with other moving vehicles' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Parking backwards cars and people around, aligned' as {}",0.00023977154111478168,0.011411906942719052,0.1573392620898813,0.5584931642659375,0.2421891370560687,0.025957180563432887,0.0005995497506704888
2,Navigating T-junction on a clear road,"Parking backwards cars and people around, aligned",Navigating T-junction with other moving vehicles,Navigating traffic-circle with other moving vehicles,Navigating lane merge with other moving vehicles,True,True,Navigating T-junction with other moving vehicles,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The participant is introduced to the robot, which is a autonomous vehicle in a virtual reality environment. To interact, the participant wears a virtual reality headset which provides a first-person viewpoint from the driver seat. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Navigating T-junction on a clear road' as 2 out of 7.
The participant rates their trust on the task 'Parking backwards cars and people around, aligned' as 1 out of 7.
The participant rates their trust on the task 'Navigating T-junction with other moving vehicles' as 1 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Navigating traffic-circle with other moving vehicles' and succeeds. 
Then, the robot performs the task 'Navigating lane merge with other moving vehicles' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Navigating T-junction with other moving vehicles' as {}",9.370949873048332e-05,0.0009291647440964649,0.038747796086009166,0.4283619342422989,0.42347067994592713,0.10073469503675953,0.002073658998504885
3,"Parking forwards empty lot, aligned","Parking backwards cars and people around, aligned",Navigating lane merge on a clear road,"Parking forwards empty lot, misaligned","Parking backwards empty lot, misaligned",False,False,"Parking forwards empty lot, aligned","This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The participant is introduced to the robot, which is a autonomous vehicle in a virtual reality environment. To interact, the participant wears a virtual reality headset which provides a first-person viewpoint from the driver seat. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Parking forwards empty lot, aligned' as 4 out of 7.
The participant rates their trust on the task 'Parking backwards cars and people around, aligned' as 3 out of 7.
The participant rates their trust on the task 'Navigating lane merge on a clear road' as 4 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Parking forwards empty lot, misaligned' and fails. 
Then, the robot performs the task 'Parking backwards empty lot, misaligned' and fails. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Parking forwards empty lot, aligned' as {}",0.019790867204286078,0.4779295033015761,0.44752495833805667,0.019024341275238384,0.028292053749430134,0.003929664208033196,4.6244038482016015e-05
3,"Parking forwards empty lot, aligned","Parking backwards cars and people around, aligned",Navigating lane merge on a clear road,"Parking forwards empty lot, misaligned","Parking backwards empty lot, misaligned",False,False,"Parking backwards cars and people around, aligned","This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The participant is introduced to the robot, which is a autonomous vehicle in a virtual reality environment. To interact, the participant wears a virtual reality headset which provides a first-person viewpoint from the driver seat. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Parking forwards empty lot, aligned' as 4 out of 7.
The participant rates their trust on the task 'Parking backwards cars and people around, aligned' as 3 out of 7.
The participant rates their trust on the task 'Navigating lane merge on a clear road' as 4 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Parking forwards empty lot, misaligned' and fails. 
Then, the robot performs the task 'Parking backwards empty lot, misaligned' and fails. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Parking backwards cars and people around, aligned' as {}",0.08118903320398708,0.5629452513864689,0.078556968815846,0.0978429535996799,0.15037525634257035,0.008313363489159696,7.239379258677648e-05
3,"Parking forwards empty lot, aligned","Parking backwards cars and people around, aligned",Navigating lane merge on a clear road,"Parking forwards empty lot, misaligned","Parking backwards empty lot, misaligned",False,False,Navigating lane merge on a clear road,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The participant is introduced to the robot, which is a autonomous vehicle in a virtual reality environment. To interact, the participant wears a virtual reality headset which provides a first-person viewpoint from the driver seat. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Parking forwards empty lot, aligned' as 4 out of 7.
The participant rates their trust on the task 'Parking backwards cars and people around, aligned' as 3 out of 7.
The participant rates their trust on the task 'Navigating lane merge on a clear road' as 4 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Parking forwards empty lot, misaligned' and fails. 
Then, the robot performs the task 'Parking backwards empty lot, misaligned' and fails. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Navigating lane merge on a clear road' as {}",0.018844315039345413,0.5675063444735481,0.3310267139712219,0.025528063564957272,0.04729596470094629,0.005790617173920876,6.475743744276905e-05
4,"Parking forwards empty lot, aligned",Navigating traffic-circle with other moving vehicles,"Parking backwards cars and people around, aligned","Parking forwards cars and people around, misaligned","Parking backwards cars and people around, misaligned",True,True,"Parking forwards empty lot, aligned","This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The participant is introduced to the robot, which is a autonomous vehicle in a virtual reality environment. To interact, the participant wears a virtual reality headset which provides a first-person viewpoint from the driver seat. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Parking forwards empty lot, aligned' as 6 out of 7.
The participant rates their trust on the task 'Navigating traffic-circle with other moving vehicles' as 3 out of 7.
The participant rates their trust on the task 'Parking backwards cars and people around, aligned' as 6 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Parking forwards cars and people around, misaligned' and succeeds. 
Then, the robot performs the task 'Parking backwards cars and people around, misaligned' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Parking forwards empty lot, aligned' as {}",7.538555293045574e-06,1.7937214158249576e-05,8.537322763965682e-05,0.0020430943134854976,0.007769519165340528,0.019989654785072725,0.7653412547356517
