id,test_task_descr_1,test_task_descr_2,test_task_descr_3,obs_task_descr_1,obs_task_descr_2,obs_tasks_perf_1,obs_tasks_perf_2,post_obs_task_descr,prompt,1,2,3,4,5,6,7
0,Pick and place a plastic can,Navigate to the main room door,Pick and place an apple,Pick and place a plastic bottle,Pick and place a plastic cup,True,True,Pick and place a plastic can,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The human participant is introduced to the robot. The robot is a Fetch research robot which is equipped with a 7 degrees-of-freedom arm. The human is requested to rate their subjective trust in the robot to successfully perform described tasks in a studio apartment. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Pick and place a plastic can' as 5 out of 7.
The participant rates their trust on the task 'Navigate to the main room door' as 5 out of 7.
The participant rates their trust on the task 'Pick and place an apple' as 3 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Pick and place a plastic bottle' and succeeds. 
Then, the robot performs the task 'Pick and place a plastic cup' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Pick and place a plastic can' as {}",8.799628968847044e-06,3.43432522376715e-05,0.00021863235130734334,0.004697973657191822,0.003926030949281998,0.7665448420753935,0.2190669693046571
0,Pick and place a plastic can,Navigate to the main room door,Pick and place an apple,Pick and place a plastic bottle,Pick and place a plastic cup,True,True,Navigate to the main room door,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The human participant is introduced to the robot. The robot is a Fetch research robot which is equipped with a 7 degrees-of-freedom arm. The human is requested to rate their subjective trust in the robot to successfully perform described tasks in a studio apartment. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Pick and place a plastic can' as 5 out of 7.
The participant rates their trust on the task 'Navigate to the main room door' as 5 out of 7.
The participant rates their trust on the task 'Pick and place an apple' as 3 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Pick and place a plastic bottle' and succeeds. 
Then, the robot performs the task 'Pick and place a plastic cup' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Navigate to the main room door' as {}",1.143247006305704e-05,5.449456968863428e-05,0.000284091269486633,0.010470958615305684,0.012566791997124915,0.8140716619996552,0.1559719337153203
0,Pick and place a plastic can,Navigate to the main room door,Pick and place an apple,Pick and place a plastic bottle,Pick and place a plastic cup,True,True,Pick and place an apple,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The human participant is introduced to the robot. The robot is a Fetch research robot which is equipped with a 7 degrees-of-freedom arm. The human is requested to rate their subjective trust in the robot to successfully perform described tasks in a studio apartment. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Pick and place a plastic can' as 5 out of 7.
The participant rates their trust on the task 'Navigate to the main room door' as 5 out of 7.
The participant rates their trust on the task 'Pick and place an apple' as 3 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Pick and place a plastic bottle' and succeeds. 
Then, the robot performs the task 'Pick and place a plastic cup' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Pick and place an apple' as {}",1.6419268569985966e-05,5.250191042400993e-05,0.00024874059293186594,0.07352259537052878,0.20077405654194233,0.6964090679447921,0.02089894081507763
1,Pick and place a lemon,Pick and place a plastic bottle,Navigate while avoiding obstacles,Pick and place a glass,Pick and place an apple,True,True,Pick and place a lemon,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The human participant is introduced to the robot. The robot is a Fetch research robot which is equipped with a 7 degrees-of-freedom arm. The human is requested to rate their subjective trust in the robot to successfully perform described tasks in a studio apartment. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Pick and place a lemon' as 5 out of 7.
The participant rates their trust on the task 'Pick and place a plastic bottle' as 6 out of 7.
The participant rates their trust on the task 'Navigate while avoiding obstacles' as 5 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Pick and place a glass' and succeeds. 
Then, the robot performs the task 'Pick and place an apple' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Pick and place a lemon' as {}",2.004640129197385e-06,6.309544948113417e-06,6.347578902286388e-05,0.0011122036071049128,0.001160960034733151,0.8321926037998563,0.16147629940482308
1,Pick and place a lemon,Pick and place a plastic bottle,Navigate while avoiding obstacles,Pick and place a glass,Pick and place an apple,True,True,Pick and place a plastic bottle,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The human participant is introduced to the robot. The robot is a Fetch research robot which is equipped with a 7 degrees-of-freedom arm. The human is requested to rate their subjective trust in the robot to successfully perform described tasks in a studio apartment. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Pick and place a lemon' as 5 out of 7.
The participant rates their trust on the task 'Pick and place a plastic bottle' as 6 out of 7.
The participant rates their trust on the task 'Navigate while avoiding obstacles' as 5 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Pick and place a glass' and succeeds. 
Then, the robot performs the task 'Pick and place an apple' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Pick and place a plastic bottle' as {}",1.0041048669517443e-05,2.9559126866194517e-05,0.00015940187959342223,0.001412985693842705,0.0006920263673261754,0.07546807196879222,0.8945426382830343
1,Pick and place a lemon,Pick and place a plastic bottle,Navigate while avoiding obstacles,Pick and place a glass,Pick and place an apple,True,True,Navigate while avoiding obstacles,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The human participant is introduced to the robot. The robot is a Fetch research robot which is equipped with a 7 degrees-of-freedom arm. The human is requested to rate their subjective trust in the robot to successfully perform described tasks in a studio apartment. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Pick and place a lemon' as 5 out of 7.
The participant rates their trust on the task 'Pick and place a plastic bottle' as 6 out of 7.
The participant rates their trust on the task 'Navigate while avoiding obstacles' as 5 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Pick and place a glass' and succeeds. 
Then, the robot performs the task 'Pick and place an apple' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Navigate while avoiding obstacles' as {}",1.098689894473639e-05,5.910807559462231e-05,0.00045770256784365425,0.00542564984300738,0.0015397498666532233,0.6961908475398217,0.2886664527900942
2,Pick and place a plastic cup,Navigate to the main room door,Navigate while following a person,Navigate to the dining table,Navigate to the living room,True,True,Pick and place a plastic cup,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The human participant is introduced to the robot. The robot is a Fetch research robot which is equipped with a 7 degrees-of-freedom arm. The human is requested to rate their subjective trust in the robot to successfully perform described tasks in a studio apartment. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Pick and place a plastic cup' as 5 out of 7.
The participant rates their trust on the task 'Navigate to the main room door' as 6 out of 7.
The participant rates their trust on the task 'Navigate while following a person' as 4 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Navigate to the dining table' and succeeds. 
Then, the robot performs the task 'Navigate to the living room' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Pick and place a plastic cup' as {}",8.991561783876297e-06,5.58688823035161e-05,0.00039551770723060195,0.004350545671606857,0.003550595297913625,0.7096711253437256,0.2719356830560004
2,Pick and place a plastic cup,Navigate to the main room door,Navigate while following a person,Navigate to the dining table,Navigate to the living room,True,True,Navigate to the main room door,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The human participant is introduced to the robot. The robot is a Fetch research robot which is equipped with a 7 degrees-of-freedom arm. The human is requested to rate their subjective trust in the robot to successfully perform described tasks in a studio apartment. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Pick and place a plastic cup' as 5 out of 7.
The participant rates their trust on the task 'Navigate to the main room door' as 6 out of 7.
The participant rates their trust on the task 'Navigate while following a person' as 4 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Navigate to the dining table' and succeeds. 
Then, the robot performs the task 'Navigate to the living room' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Navigate to the main room door' as {}",2.939646879049968e-05,6.6110961022853e-05,0.00023943657469638463,0.0007723531997013082,0.0010780724510365304,0.058648146916992834,0.8234945643945573
2,Pick and place a plastic cup,Navigate to the main room door,Navigate while following a person,Navigate to the dining table,Navigate to the living room,True,True,Navigate while following a person,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The human participant is introduced to the robot. The robot is a Fetch research robot which is equipped with a 7 degrees-of-freedom arm. The human is requested to rate their subjective trust in the robot to successfully perform described tasks in a studio apartment. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Pick and place a plastic cup' as 5 out of 7.
The participant rates their trust on the task 'Navigate to the main room door' as 6 out of 7.
The participant rates their trust on the task 'Navigate while following a person' as 4 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Navigate to the dining table' and succeeds. 
Then, the robot performs the task 'Navigate to the living room' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Navigate while following a person' as {}",4.70656557595703e-05,0.00016141982148056288,0.0009157618648134862,0.002440460080182266,0.080365893741003,0.7643265650329144,0.1401319079950449
3,Navigate while following a person,Navigate to the living room,Pick and place a lemon,Navigate while avoiding moving people,Navigate while avoiding obstacles,True,True,Navigate while following a person,"This document contains a record of a human participant's response during their participation in a study on their trust in robots. 
The human participant is introduced to the robot. The robot is a Fetch research robot which is equipped with a 7 degrees-of-freedom arm. The human is requested to rate their subjective trust in the robot to successfully perform described tasks in a studio apartment. 
Without observing any demonstrations from the robot, the participant is requested to indicate their initial trust in the robot to perform certain tasks via a 7-point Likert scale. 
The participant rates their trust on the task 'Navigate while following a person' as 2 out of 7.
The participant rates their trust on the task 'Navigate to the living room' as 3 out of 7.
The participant rates their trust on the task 'Pick and place a lemon' as 2 out of 7.
Then the participant observes the two demonstrations from the robot. 
First, the robot performs the task 'Navigate while avoiding moving people' and succeeds. 
Then, the robot performs the task 'Navigate while avoiding obstacles' and succeeds. 
Given these demonstrations and the initial trust, now the participant will rate their trust on the task 'Navigate while following a person' as {}",3.7009497095482274e-05,0.00010855528234954189,0.0146744851112405,0.5243112932309579,0.4148031121012565,0.04074523820452087,0.0006322735026957011
